,DOCUMENT NO,PAGE NO,TYPE,URL
0,6/2022,1,GENERAL PLAN,/images15/157/10392679.TIF
1,6/2022,2,GENERAL PLAN,/images15/157/10392680.TIF
2,6/2022,3,GENERAL PLAN,/images15/157/10392700.TIF
3,6/2022,4,GENERAL PLAN,/images15/157/10392682.TIF
4,6/2022,5,GENERAL PLAN,/images15/157/10392683.TIF
5,6/2022,6,GENERAL PLAN,/images15/157/10392685.TIF
6,6/2022,7,GENERAL PLAN,/images15/157/10392686.TIF
7,6/2022,8,GENERAL PLAN,/images15/157/10392687.TIF
8,6/2022,9,GENERAL PLAN,/images15/157/10392688.TIF
9,6/2022,10,GENERAL PLAN,/images15/157/10392690.TIF
10,6/2022,11,GENERAL PLAN,/images15/157/10392691.TIF
11,6/2022,12,GENERAL PLAN,/images15/157/10392692.TIF
12,6/2022,13,GENERAL PLAN,/images15/157/10392693.TIF
13,6/2022,14,GENERAL PLAN,/images15/157/10392694.TIF
14,6/2022,15,GENERAL PLAN,/images15/157/10392695.TIF
15,6/2022,16,GENERAL PLAN,/images15/157/10392696.TIF
